DEBUG:root:2: Маленькая Верная Рука Энни Окли нет глобальных вейпоинтов. Его задача [[13, 12], 2537, []]. Его позиция [13, 13], 2538, [12, 12]
DEBUG:root:2: Маленькая Верная Рука Энни Окли глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[13, 12], 2537, []]. Его позиция [13, 13], 2538, [12, 12]
DEBUG:root:3: плешивый койот нет глобальных вейпоинтов. Его задача [[5, 6], 741, []]. Его позиция [6, 6], 1218, [12, 12]
DEBUG:root:3: плешивый койот глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[5, 6], 741, []]. Его позиция [6, 6], 1218, [12, 12]
DEBUG:root:4: Неизвестный нет глобальных вейпоинтов. Его задача [[4, 5], 369, []]. Его позиция [5, 5], 740, [12, 12]
DEBUG:root:4: Неизвестный глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 5], 369, []]. Его позиция [5, 5], 740, [12, 12]
DEBUG:root:19: Маленькая Верная Рука Энни Окли нет глобальных вейпоинтов. Его задача [[14, 12], 3013, []]. Его позиция [13, 12], 2537, [15, 24]
DEBUG:root:19: Маленькая Верная Рука Энни Окли глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[14, 12], 3013, []]. Его позиция [13, 12], 2537, [15, 24]
DEBUG:root:21: плешивый койот нет глобальных вейпоинтов. Его задача [[6, 6], 1218, []]. Его позиция [5, 6], 741, [24, 13]
DEBUG:root:21: плешивый койот глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[6, 6], 1218, []]. Его позиция [5, 6], 741, [24, 13]
DEBUG:root:25: Неизвестный нет глобальных вейпоинтов. Его задача [[4, 4], 368, []]. Его позиция [4, 5], 369, [24, 19]
DEBUG:root:25: Неизвестный глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 4], 368, []]. Его позиция [4, 5], 369, [24, 19]
DEBUG:root:26: плешивый койот нет глобальных вейпоинтов. Его задача [[6, 5], 1217, []]. Его позиция [6, 6], 1218, [0, 10]
DEBUG:root:26: плешивый койот глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[6, 5], 1217, []]. Его позиция [6, 6], 1218, [0, 10]
DEBUG:root:49: Маленькая Верная Рука Энни Окли нет глобальных вейпоинтов. Его задача [[14, 11], 3012, []]. Его позиция [14, 12], 3013, [0, 5]
DEBUG:root:49: Маленькая Верная Рука Энни Окли глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[14, 11], 3012, []]. Его позиция [14, 12], 3013, [0, 5]
DEBUG:root:54: плешивый койот нет глобальных вейпоинтов. Его задача [[5, 5], 740, []]. Его позиция [6, 5], 1217, [14, 24]
DEBUG:root:54: плешивый койот глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[5, 5], 740, []]. Его позиция [6, 5], 1217, [14, 24]
DEBUG:root:63: Неизвестный нет глобальных вейпоинтов. Его задача [[4, 5], 369, []]. Его позиция [4, 4], 368, [7, 24]
DEBUG:root:63: Неизвестный глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 5], 369, []]. Его позиция [4, 4], 368, [7, 24]
DEBUG:root:67: Маленькая Верная Рука Энни Окли нет глобальных вейпоинтов. Его задача [[14, 10], 3011, []]. Его позиция [14, 11], 3012, [11, 24]
DEBUG:root:67: Маленькая Верная Рука Энни Окли глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[14, 10], 3011, []]. Его позиция [14, 11], 3012, [11, 24]
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:75: Неизвестный нет глобальных вейпоинтов. Его задача [[4, 4], 368, []]. Его позиция [4, 5], 369, [17, 0]
DEBUG:root:75: Неизвестный глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 4], 368, []]. Его позиция [4, 5], 369, [17, 0]
DEBUG:root:78: Неизвестный нет глобальных вейпоинтов. Его задача [[4, 5], 369, []]. Его позиция [4, 4], 368, [18, 24]
DEBUG:root:78: Неизвестный глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 5], 369, []]. Его позиция [4, 4], 368, [18, 24]
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:85: плешивый койот нет глобальных вейпоинтов. Его задача [[4, 5], 369, []]. Его позиция [5, 5], 740, [24, 9]
DEBUG:root:85: плешивый койот глобальные позиции не равны или глобальные позиции равны, но не равны зоны доступности. Его задача [[4, 5], 369, []]. Его позиция [5, 5], 740, [24, 9]
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
DEBUG:root:self.name_npc - Птица, self.steps_to_despawn - 30, self.delete - False
